Date,Open,High,Low,Close,Volume
2021 Mar 31 09:35 Wed,370.088273772,374.257723209,369.790455955,372.490670828,133118
2021 Mar 31 09:40 Wed,372.530379871,372.530379871,371.527726554,372.043944103,34501
2021 Mar 31 09:45 Wed,372.073725885,372.52045261,370.75340023,371.45823573,59930
2021 Mar 31 09:50 Wed,371.696489983,372.073725885,370.812963793,371.527726554,34004
2021 Mar 31 09:55 Wed,371.448308469,371.666708202,369.770601434,369.795419586,53872
2021 Mar 31 10:00 Wed,369.800383216,370.683909406,369.274238406,369.939364864,42655
2021 Mar 31 10:05 Wed,369.919510343,370.644200364,369.919510343,370.187546378,26123
2021 Mar 31 10:10 Wed,370.286818984,370.39601885,369.294092927,369.534729723,35344
2021 Mar 31 10:15 Wed,369.482710878,370.475436934,369.145184019,370.088273772,31048
2021 Mar 31 10:20 Wed,370.018782948,370.515145977,369.095547716,370.182582748,61425
2021 Mar 31 10:25 Wed,370.123019184,370.654524715,369.989001167,370.177619117,20476
2021 Mar 31 10:30 Wed,370.187546378,370.56974591,370.03863747,370.03863747,31030
2021 Mar 31 10:35 Wed,369.998928427,370.5846368,369.879801301,370.028710209,32124
2021 Mar 31 10:40 Wed,370.127982815,370.40594611,369.989001167,370.361273438,20797
2021 Mar 31 10:45 Wed,370.316600765,370.793109272,370.142873705,370.639236734,31962
2021 Mar 31 10:50 Wed,370.693836667,371.527726554,370.505218716,371.527726554,15840
2021 Mar 31 10:55 Wed,371.527726554,372.470816307,371.497944772,372.460889047,24372
2021 Mar 31 11:00 Wed,372.287161987,372.287161987,371.497944772,371.656780941,14734
2021 Mar 31 11:05 Wed,372.103507667,372.103507667,371.299399561,371.617071899,17791
2021 Mar 31 11:10 Wed,371.676635462,371.795762589,371.488017512,371.63692642,19287
2021 Mar 31 11:15 Wed,371.696489983,371.964526019,371.507872033,371.587290117,17362
2021 Mar 31 11:20 Wed,371.497944772,371.666708202,371.140563392,371.145527022,32638
2021 Mar 31 11:25 Wed,371.130636131,371.314290452,370.822891054,371.264654149,21108
2021 Mar 31 11:30 Wed,371.264654149,371.696489983,371.051218047,371.492981142,68664
2021 Mar 31 11:35 Wed,371.443344839,372.619725216,371.443344839,372.202780272,22227
2021 Mar 31 11:40 Wed,372.128325818,372.748779603,372.128325818,372.649506998,16443
2021 Mar 31 11:45 Wed,372.724954178,372.907615772,372.361616441,372.431107265,13114
2021 Mar 31 11:50 Wed,372.500598089,372.555198022,371.795762589,371.974453279,22731
2021 Mar 31 11:55 Wed,372.053871364,372.798415906,371.81561711,372.51548898,45702
2021 Mar 31 12:00 Wed,372.51052535,372.897688512,372.038980473,372.038980473,24683
2021 Mar 31 12:05 Wed,371.954598758,372.521743154,371.676635462,371.765980807,27776
2021 Mar 31 12:10 Wed,371.753373187,371.974453279,371.378817645,371.438381209,16238
2021 Mar 31 12:15 Wed,371.428453948,371.904962455,371.170345174,371.438381209,22771
2021 Mar 31 12:20 Wed,371.2894723,371.309326822,370.991654484,371.031363526,13525
2021 Mar 31 12:25 Wed,371.210054216,371.381696551,370.93209092,370.951945441,13414
2021 Mar 31 12:30 Wed,370.951945441,371.090927089,370.594564061,370.654127624,15022
2021 Mar 31 12:35 Wed,370.627026203,371.368890385,370.627026203,371.299399561,15485
2021 Mar 31 12:40 Wed,371.349035864,371.617071899,371.160417913,371.597217378,15584
2021 Mar 31 12:45 Wed,371.617071899,372.024089582,371.617071899,371.904962455,10338
2021 Mar 31 12:50 Wed,371.850362522,372.093580406,371.765980807,371.81065348,13024
2021 Mar 31 12:55 Wed,371.855326152,372.420187279,371.845398892,372.311980138,14757
2021 Mar 31 13:00 Wed,372.311980138,372.718997821,372.311980138,372.401325483,16791
2021 Mar 31 13:05 Wed,372.396361853,373.076379202,372.396361853,372.853015839,15843
2021 Mar 31 13:10 Wed,372.778561385,373.066451941,372.684252409,373.016815638,19202
2021 Mar 31 13:15 Wed,373.04659742,373.39405154,372.977106596,373.185579068,14490
2021 Mar 31 13:20 Wed,373.255069892,373.334487976,372.649506998,372.738852343,26430
2021 Mar 31 13:25 Wed,372.669361519,372.679288779,372.345732824,372.570088913,11171
2021 Mar 31 13:30 Wed,372.609797955,372.883492529,372.550234392,372.798415906,12842
2021 Mar 31 13:35 Wed,372.738852343,373.05156105,372.738852343,373.026742899,14868
2021 Mar 31 13:40 Wed,372.987033857,373.314633455,372.897688512,372.897688512,19050
2021 Mar 31 13:45 Wed,372.907615772,372.907615772,372.634616107,372.659434258,15051
2021 Mar 31 13:50 Wed,372.788488645,373.085115191,372.589943434,373.085115191,12754
2021 Mar 31 13:55 Wed,373.026742899,373.235215371,372.500598089,372.619725216,14815
2021 Mar 31 14:00 Wed,372.500598089,372.639579737,372.252416575,372.34176192,13918
