Date,Open,High,Low,Close,Volume
2019 Nov 13 16:30 Wed,159.230689413,159.230689413,159.230689413,159.230689413,3650
2019 Nov 13 16:40 Wed,159.230689413,159.230689413,159.230689413,159.230689413,205
2019 Nov 14 06:30 Thu,158.913255028,158.913255028,158.913255028,158.913255028,100
2019 Nov 14 07:50 Thu,158.810555668,158.810555668,158.810555668,158.810555668,936
2019 Nov 14 09:30 Thu,158.773210446,158.773210446,158.773210446,158.773210446,200
2019 Nov 14 09:35 Thu,158.698520002,159.912239711,158.651838475,159.520114882,90659
2019 Nov 14 09:40 Thu,159.53411934,159.678832074,159.155998969,159.386232262,16897
2019 Nov 14 09:45 Thu,159.389406606,159.660159464,159.221353107,159.48276966,18226
2019 Nov 14 09:50 Thu,159.426751827,159.725513602,159.368119829,159.646155005,14304
2019 Nov 14 09:55 Thu,159.594805325,159.930912322,159.566796409,159.930912322,19807
2019 Nov 14 10:00 Thu,159.921576016,159.99626646,159.678832074,159.828212962,15896
2019 Nov 14 10:05 Thu,159.762858823,159.832881114,159.594805325,159.725513602,21899
2019 Nov 14 10:10 Thu,159.68816838,160.145647347,159.669495769,160.145647347,25491
2019 Nov 14 10:15 Thu,160.136311041,160.257683012,159.986930154,160.228553739,11752
2019 Nov 14 10:20 Thu,160.257683012,160.32303715,160.042947987,160.089629514,10046
2019 Nov 14 10:25 Thu,160.182992569,160.276355623,160.09896582,160.155170378,11169
2019 Nov 14 10:30 Thu,160.213802377,160.360382372,160.154983652,160.32303715,10441
2019 Nov 14 10:35 Thu,160.341709761,160.500426954,160.304364539,160.500426954,10237
2019 Nov 14 10:40 Thu,160.487729578,160.687153063,160.481754343,160.657930427,18382
2019 Nov 14 10:45 Thu,160.649807841,160.83653395,160.603126314,160.789852423,22139
2019 Nov 14 10:50 Thu,160.808525034,160.883215477,160.715161979,160.761843506,17258
2019 Nov 14 10:55 Thu,160.780516117,160.789852423,160.622825918,160.659144146,29240
2019 Nov 14 11:00 Thu,160.659144146,160.696489368,160.565781092,160.635803383,17187
2019 Nov 14 11:05 Thu,160.612462619,160.63113523,160.332373456,160.481754343,13025
2019 Nov 14 11:10 Thu,160.519099565,160.519099565,160.304364539,160.32303715,9762
2019 Nov 14 11:15 Thu,160.32303715,160.32303715,159.99626646,160.20166518,19440
2019 Nov 14 11:20 Thu,160.229674096,160.472418037,160.229674096,160.351046067,9154
2019 Nov 14 11:25 Thu,160.32303715,160.341709761,160.164319958,160.173656263,13252
2019 Nov 14 11:30 Thu,160.154983652,160.164319958,159.856221878,159.902903405,11649
2019 Nov 14 11:35 Thu,159.921576016,159.99626646,159.870226336,159.958921238,12007
2019 Nov 14 11:40 Thu,159.916907863,159.940248627,159.762858823,159.795535893,6930
2019 Nov 14 11:45 Thu,159.781531434,159.800204045,159.464097049,159.529451187,12002
2019 Nov 14 11:50 Thu,159.483703291,159.660159464,159.314716162,159.408732758,9928
2019 Nov 14 11:55 Thu,159.473433355,159.473433355,159.184007886,159.258698329,12671
2019 Nov 14 12:00 Thu,159.361397689,159.464097049,159.352061384,159.417415522,12286
2019 Nov 14 12:05 Thu,159.439449203,159.632150547,159.439449203,159.618146089,14751
2019 Nov 14 12:10 Thu,159.632150547,159.75174862,159.566796409,159.68816838,8569
2019 Nov 14 12:15 Thu,159.7126295,159.772195129,159.68816838,159.697504685,6949
2019 Nov 14 12:20 Thu,159.717391016,159.725513602,159.641486853,159.702172838,7424
2019 Nov 14 12:25 Thu,159.725513602,159.79086774,159.706840991,159.767526976,7844
2019 Nov 14 12:30 Thu,159.746053474,159.904957392,159.744186213,159.8935671,14707
2019 Nov 14 12:35 Thu,159.912239711,159.986930154,159.874894489,159.986930154,11304
2019 Nov 14 12:40 Thu,160.005602765,160.136311041,159.986930154,160.136311041,5980
2019 Nov 14 12:45 Thu,160.136311041,160.248346707,160.136311041,160.20166518,17123
2019 Nov 14 12:50 Thu,160.22033779,160.248346707,160.126974736,160.128375182,12667
2019 Nov 14 12:55 Thu,160.154983652,160.173656263,160.070956903,160.11763843,7191
2019 Nov 14 13:00 Thu,160.136311041,160.154983652,159.991598307,160.139392022,12335
2019 Nov 14 13:05 Thu,160.145647347,160.267019318,160.11763843,160.131642889,7145
2019 Nov 14 13:10 Thu,160.126974736,160.170295193,159.977593849,159.977593849,9770
2019 Nov 14 13:15 Thu,159.940248627,159.940248627,159.818876656,159.856221878,8893
2019 Nov 14 13:20 Thu,159.846885572,159.851553725,159.809540351,159.809540351,1831
2019 Nov 14 13:25 Thu,159.809540351,159.828212962,159.762858823,159.79086774,7109
2019 Nov 14 13:30 Thu,159.800204045,160.042947987,159.800204045,160.042947987,11512
2019 Nov 14 13:35 Thu,160.033611681,160.033611681,159.898235252,159.902903405,9392
2019 Nov 14 13:40 Thu,159.940248627,160.09896582,159.940248627,160.052284292,19348
2019 Nov 14 13:45 Thu,160.052284292,160.061620598,159.809540351,159.837549267,10356
2019 Nov 14 13:50 Thu,159.846885572,159.902903405,159.818876656,159.846885572,5459
2019 Nov 14 13:55 Thu,159.837549267,159.958921238,159.837549267,159.928204793,7201
2019 Nov 14 14:00 Thu,159.934646844,159.958921238,159.473433355,159.669495769,30721
2019 Nov 14 14:05 Thu,159.669495769,159.865558183,159.650823158,159.828212962,5950
2019 Nov 14 14:10 Thu,159.832601025,159.832601025,159.753522518,159.772195129,9436
2019 Nov 14 14:15 Thu,159.781531434,159.781531434,159.702172838,159.744186213,6161
2019 Nov 14 14:20 Thu,159.683686953,159.876575024,159.669495769,159.800204045,15994
2019 Nov 14 14:25 Thu,159.79086774,159.795535893,159.637845694,159.637845694,5898
2019 Nov 14 14:30 Thu,159.622814242,159.660159464,159.557460104,159.622814242,12012
2019 Nov 14 14:35 Thu,159.613477936,159.734849907,159.594805325,159.734849907,3314
2019 Nov 14 14:40 Thu,159.837455904,159.837455904,159.68816838,159.762858823,6638
2019 Nov 14 14:45 Thu,159.772195129,159.794508899,159.68816838,159.794508899,6223
2019 Nov 14 14:50 Thu,159.781531434,159.856221878,159.744186213,159.79086774,6280
2019 Nov 14 14:55 Thu,159.781531434,159.800204045,159.613477936,159.613477936,7891
2019 Nov 14 15:00 Thu,159.627482394,159.744186213,159.622814242,159.725513602,9803
2019 Nov 14 15:05 Thu,159.725513602,159.790774377,159.706840991,159.781531434,6606
2019 Nov 14 15:10 Thu,159.781531434,159.818876656,159.706840991,159.725513602,7424
2019 Nov 14 15:15 Thu,159.716177296,159.762858823,159.622814242,159.632150547,8511
2019 Nov 14 15:20 Thu,159.613477936,159.660159464,159.538787493,159.641486853,10592
2019 Nov 14 15:25 Thu,159.64811563,159.828212962,159.632150547,159.809540351,31197
2019 Nov 14 15:30 Thu,159.818876656,159.818876656,159.734849907,159.802071306,8490
2019 Nov 14 15:35 Thu,159.828212962,159.846885572,159.668842228,159.668842228,13742
2019 Nov 14 15:40 Thu,159.674163922,159.828212962,159.674163922,159.772195129,18170
2019 Nov 14 15:45 Thu,159.79086774,159.846885572,159.712069322,159.716177296,12775
2019 Nov 14 15:50 Thu,159.694236978,159.706560902,159.594805325,159.622907605,16928
2019 Nov 14 15:55 Thu,159.641486853,159.762858823,159.473433355,159.520114882,37372
2019 Nov 14 16:00 Thu,159.529451187,159.734849907,159.520114882,159.613477936,92849
2019 Nov 14 16:05 Thu,159.58546902,159.58546902,159.58546902,159.58546902,167033
2019 Nov 14 16:10 Thu,159.006618082,159.566796409,159.006618082,159.566796409,700
2019 Nov 14 16:15 Thu,159.58546902,159.58546902,159.58546902,159.58546902,648
2019 Nov 14 16:30 Thu,159.58546902,159.58546902,159.58546902,159.58546902,42612
2019 Nov 14 16:45 Thu,159.58546902,159.58546902,159.58546902,159.58546902,2802
2019 Nov 14 19:00 Thu,159.874894489,159.874894489,159.874894489,159.874894489,100
2019 Nov 15 08:05 Fri,160.481754343,160.481754343,160.481754343,160.481754343,370
2019 Nov 15 09:20 Fri,159.650823158,159.650823158,159.650823158,159.650823158,250
2019 Nov 15 09:35 Fri,160.267019318,160.640471536,160.09896582,160.551869997,258683
2019 Nov 15 09:40 Fri,160.453745427,160.677816757,159.874894489,160.061620598,28423
2019 Nov 15 09:45 Fri,160.11763843,160.126974736,159.68816838,160.061620598,50391
2019 Nov 15 09:50 Fri,160.04761614,160.158251359,159.921576016,160.014939071,40760
2019 Nov 15 09:55 Fri,160.005602765,160.042947987,159.856221878,159.888898947,14347
2019 Nov 15 10:00 Fri,159.856221878,160.182992569,159.762858823,160.089629514,24630
2019 Nov 15 10:05 Fri,160.089629514,160.173656263,159.977593849,159.99626646,22359
2019 Nov 15 10:10 Fri,160.005602765,160.22033779,160.005602765,160.108302125,43456
2019 Nov 15 10:15 Fri,160.080293209,160.296522043,160.052284292,160.296522043,16364
2019 Nov 15 10:20 Fri,160.295028234,160.63113523,160.061620598,160.09896582,51913
2019 Nov 15 10:25 Fri,160.09896582,160.211001485,159.99626646,160.005602765,24796
2019 Nov 15 10:30 Fri,159.99626646,160.211001485,159.940248627,160.173656263,22118
2019 Nov 15 10:35 Fri,160.20166518,160.416400205,160.182992569,160.369718678,12271
2019 Nov 15 10:40 Fri,160.369718678,160.519099565,160.34198985,160.463455184,13008
2019 Nov 15 10:45 Fri,160.500426954,160.519099565,160.20166518,160.29736231,47829
2019 Nov 15 10:50 Fri,160.295028234,160.83653395,160.295028234,160.752507201,17837
2019 Nov 15 10:55 Fri,160.696489368,160.808525034,160.472418037,160.496879158,18303
2019 Nov 15 11:00 Fri,160.519099565,160.649807841,160.466442802,160.500426954,20514
2019 Nov 15 11:05 Fri,160.472418037,160.929897004,160.472418037,160.584453703,34114
2019 Nov 15 11:10 Fri,160.603126314,160.668480452,160.523020813,160.575584213,22879
2019 Nov 15 11:15 Fri,160.588935129,160.588935129,160.32303715,160.32303715,13541
2019 Nov 15 11:20 Fri,160.341709761,160.476059197,160.309032692,160.469150331,15351
2019 Nov 15 11:25 Fri,160.453745427,160.543747411,160.416400205,160.463081732,10056
2019 Nov 15 11:30 Fri,160.453745427,160.649714478,160.420134727,160.612462619,12760
2019 Nov 15 11:35 Fri,160.626467077,160.911224394,160.603126314,160.83653395,23588
2019 Nov 15 11:40 Fri,160.821129046,160.920560699,160.765111213,160.901888088,12556
2019 Nov 15 11:45 Fri,160.911224394,161.069941586,160.901888088,160.967242226,23890
2019 Nov 15 11:50 Fri,160.957905921,160.957905921,160.756241723,160.791719684,10777
2019 Nov 15 11:55 Fri,160.798815276,161.228472053,160.798815276,161.191313557,23274
2019 Nov 15 12:00 Fri,161.228658779,161.228658779,161.024567142,161.024567142,26839
2019 Nov 15 12:05 Fri,161.040999039,161.107286808,160.957905921,161.097950503,13349
2019 Nov 15 12:10 Fri,161.079277892,161.191313557,161.079277892,161.153968335,11758
2019 Nov 15 12:15 Fri,161.153968335,161.163304641,161.097950503,161.116623113,11010
2019 Nov 15 12:20 Fri,161.111954961,161.111954961,160.892551783,160.897500025,24957
2019 Nov 15 12:25 Fri,160.920560699,161.074609739,160.920560699,161.004587448,16532
2019 Nov 15 12:30 Fri,161.004587448,161.130627572,160.99058299,160.99058299,18255
2019 Nov 15 12:35 Fri,160.99058299,161.060605281,160.957905921,161.023260059,18363
2019 Nov 15 12:40 Fri,160.996371499,161.060605281,160.996371499,161.013923753,10345
2019 Nov 15 12:45 Fri,161.004587448,161.089081012,161.004587448,161.088614197,11861
2019 Nov 15 12:50 Fri,161.074609739,161.079277892,161.004587448,161.065273433,14580
2019 Nov 15 12:55 Fri,161.069941586,161.088614197,160.920560699,160.920560699,35851
2019 Nov 15 13:00 Fri,160.929336826,160.948569615,160.848484421,160.892551783,11451
2019 Nov 15 13:05 Fri,160.892551783,161.107286808,160.883215477,161.079277892,16863
2019 Nov 15 13:10 Fri,161.079277892,161.088614197,160.914305374,160.948756341,16355
2019 Nov 15 13:15 Fri,160.938859858,161.023260059,160.929897004,161.013923753,9165
2019 Nov 15 13:20 Fri,161.004120633,161.079277892,160.976578532,161.05080216,11847
2019 Nov 15 13:25 Fri,161.04193267,161.060605281,161.013923753,161.04193267,9311
2019 Nov 15 13:30 Fri,161.046600823,161.060605281,160.985914837,161.004307359,12749
2019 Nov 15 13:35 Fri,161.008135244,161.051268975,160.971910379,160.971910379,27341
2019 Nov 15 13:40 Fri,160.967242226,161.013923753,160.957905921,161.000572837,13738
