user_names,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,retweetedTweet,inReplyToTweetId,results,result_count,result_counts,final_score,user_names
AbuAhmad9193,8.365628889439408e+18,5.0,9.0,23.0,1.0,8.365628889439408e+18,0.0,0.0,0.0,6,6,0.0,AbuAhmad9193
AbundanceTrade,1.4323525538119844e+18,0.0,0.0,0.0,0.0,1.4323525538119844e+18,0.0,0.0,0.0,1,1,0.0,AbundanceTrade
AdalbertoDiaz55,1.4128726663781622e+18,1.0,0.0,4.0,0.0,1.4128726663781622e+18,0.0,0.0,0.0,1,1,0.0,AdalbertoDiaz55
AdamPoulston,1.3592036776601518e+18,0.0,0.0,0.0,0.0,1.3592033690810655e+18,0.0,1.3592033690810655e+18,0.0,1,1,0.0,AdamPoulston
AdjustSoto,1.433759529318105e+18,0.0,0.0,0.0,0.0,1.433759529318105e+18,0.0,0.0,0.0,1,1,0.0,AdjustSoto
AdmiralsGlobal,1.360150127357399e+18,0.0,1.0,0.0,0.0,1.360150127357399e+18,0.0,0.0,0.0,1,1,0.0,AdmiralsGlobal
Adonnis,1.3907722362613596e+18,0.0,0.0,0.0,0.0,1.3907722362613596e+18,0.0,0.0,0.0,1,1,0.0,Adonnis
AdrianGC91,1.3589060938507387e+18,0.0,0.0,0.0,0.0,1.3589060938507387e+18,0.0,0.0,0.0,1,1,0.0,AdrianGC91
AgathosCH,1.357269101199188e+18,0.0,0.0,2.0,0.0,1.357269101199188e+18,0.0,0.0,1.0,1,1,100.0,AgathosCH
AggregateVolume,1.4394490193322353e+18,0.0,0.0,0.0,0.0,1.4394490193322353e+18,0.0,0.0,0.0,1,1,0.0,AggregateVolume
AgriHarvest,1.427181222208344e+18,0.0,0.0,0.0,0.0,1.427181222208344e+18,0.0,0.0,0.0,1,1,0.0,AgriHarvest
AgusPranaPelu,2.7293214961425736e+18,0.0,0.0,1.0,0.0,2.7293214961425736e+18,0.0,0.0,0.0,2,2,0.0,AgusPranaPelu
